Sensor,Date,Hour,S1T,S2T,S3T,S4T,ST1,ST3,HUM,TEMP,partofday_8,partofday_6,partofday_12
PM20-60,2021-07-07,10.0,60.655,49.435,70.00999999999999,55.42,26.775,26.645000000000003,39.225,31.86,2,2,1
PM20-60,2021-07-07,11.0,60.365,49.35,69.9975,55.335,25.932500000000005,25.7625,40.8675,32.0175,2,2,1
PM20-60,2021-07-07,12.0,60.06666666666666,49.25666666666667,69.89666666666666,55.17333333333333,26.086666666666666,25.64333333333333,40.486666666666665,32.29,2,3,2
PM20-60,2021-07-07,13.0,59.93666666666667,49.22333333333333,69.82,55.08000000000001,26.30333333333333,25.60333333333333,39.373333333333335,32.34333333333333,2,3,2
PM20-60,2021-07-07,14.0,59.845,49.26,69.80000000000001,55.025,26.515,25.565,40.785,31.13,2,3,2
PM20-60,2021-07-07,15.0,59.725,49.35,69.785,54.95,26.765,25.54,45.155,29.22,2,3,2
PM20-60,2021-07-07,16.0,59.455,49.36,69.75,54.905,26.845,25.52,48.075,26.93,3,3,2
PM20-60,2021-07-07,17.0,59.24,49.34,69.74,54.87,26.77,25.53,47.01,26.19,3,3,2
PM20-60,2021-07-07,18.0,59.075,49.32,69.72,54.85,26.58,25.545,43.185,26.07,3,4,2
PM20-60,2021-07-07,19.0,58.915,49.265,69.71,54.83,26.285,25.57,39.62,23.64,3,4,2
PM20-60,2021-07-07,20.0,58.87,49.23,69.7,54.83,26.03,25.58,50.16,20.02,3,4,2
PM20-60,2021-07-07,21.0,58.825,49.18,69.68,54.81,25.78,25.61,56.685,18.135,3,4,2
PM20-60,2021-07-07,22.0,58.735,49.11,69.65,54.8,25.42,25.655,51.215,18.795,3,4,2
PM20-60,2021-07-07,23.0,58.655,49.035,69.61,54.79,25.065,25.66,46.84,19.7,3,4,2
PM20-60,2021-07-08,0.0,58.57,48.99,69.58,54.78,24.79,25.66,41.08,19.65,1,1,1
PM20-60,2021-07-08,1.0,58.51,48.925,69.555,54.77,24.495,25.67,42.51,18.905,1,1,1
PM20-60,2021-07-08,10.0,60.08,49.65,72.74,55.58,23.83,25.11,28.72,32.2,2,2,1
PM20-60,2021-07-08,11.0,59.8175,49.4825,70.3425,55.28250000000001,24.137500000000006,25.055,26.035,34.0775,2,2,1
PM20-60,2021-07-08,12.0,59.67333333333334,49.39666666666667,69.71666666666665,55.14000000000001,24.486666666666668,25.00333333333333,27.59333333333333,35.41000000000001,2,3,2
PM20-60,2021-07-08,13.0,59.505,49.38,69.57,55.07,24.755000000000006,24.97,30.665,34.16,2,3,2
PM20-60,2021-07-08,14.0,59.375,49.37,69.515,55.035,25.015,24.94,29.01,35.18,2,3,2
PM20-60,2021-07-08,15.0,59.31,49.38500000000001,69.48,54.975,25.365,24.925,29.020000000000003,34.675,2,3,2
PM20-60,2021-07-08,16.0,59.175,49.41,69.475,54.94,25.69,24.915,34.69,31.83,3,3,2
PM20-60,2021-07-08,17.0,59.04,49.44,69.47,54.92,25.91,24.91,37.53,30.32,3,3,2
PM20-60,2021-07-08,18.0,58.925,49.46,69.48,54.895,26.025,24.94,45.795,28.58,3,4,2
PM20-60,2021-07-08,19.0,58.78,49.475,69.505,54.89,26.055,24.99,58.455,25.155,3,4,2
PM20-60,2021-07-08,2.0,58.455,48.865,69.525,54.76000000000001,24.130000000000006,25.655,52.53,17.41,1,1,1
