Sensor,Variance,value
PM20-60,Daily variance,124.05415045455433
PS4-60,Daily variance,32.41282030548524
PS5-60,Daily variance,2.1637172632525035
PS6-60,Daily variance,147.9743554213933
PS7-60,Daily variance,55.115942885054544
PS8-60,Daily variance,53.264874672876914
PM2-60,Daily variance,14.094322786347794
PM3-60,Daily variance,8.19077606277461
PM4-60,Daily variance,9.55140945764622
PM5-60,Daily variance,30.667345617025706
PM6-60,Daily variance,75.5958242814217
PM7-60,Daily variance,115.79433976663968
PM8-60,Daily variance,42.943054000477005
PM9-60,Daily variance,81.86750998980351
PM10-60,Daily variance,4.548421594360855
PM11-60,Daily variance,2.579000833812806
PM12-60,Daily variance,33.23839514169621
PM13-60,Daily variance,40.37042878926611
PM14-60,Daily variance,7.326567194883741
PM15-60,Daily variance,85.14038267372115
PM16-60,Daily variance,48.65593385458912
PM17-60,Daily variance,71.82705929857246
PM18-60,Daily variance,2.1478832327545097
PM19-60,Daily variance,88.94255344613518
PM21-60,Daily variance,20.392382906378327
PM24-60,Daily variance,2.77634709833275
PM25-60,Daily variance,34.39371828686585
PM26-60,Daily variance,5.655972862820016
PM27-60,Daily variance,15.088757701207697
PM22-60,Daily variance,3.6613911406699446
PM23-60,Daily variance,121.70146056562135
PM20-60_innewpos,Daily variance,15.524840801033118
PM29-60,Daily variance,6.756626278236848
PM20-60,12 Hours variance,130.49878073997573
PS4-60,12 Hours variance,32.75036282211293
PS5-60,12 Hours variance,2.3144444819598746
PS6-60,12 Hours variance,149.0003946519711
PS7-60,12 Hours variance,55.040502211370914
PS8-60,12 Hours variance,29.239569615440377
PM2-60,12 Hours variance,14.360932928619901
PM3-60,12 Hours variance,8.143133864856102
PM4-60,12 Hours variance,9.635647291104759
PM5-60,12 Hours variance,33.746356937526386
PM6-60,12 Hours variance,73.77826548549497
PM7-60,12 Hours variance,105.47500496412218
PM8-60,12 Hours variance,54.72671239388015
PM9-60,12 Hours variance,88.14897951372357
PM10-60,12 Hours variance,4.321605637324
PM11-60,12 Hours variance,3.6602269777418983
PM12-60,12 Hours variance,30.776825055166096
PM13-60,12 Hours variance,41.15788333531065
PM14-60,12 Hours variance,7.75418074348081
PM15-60,12 Hours variance,84.23011344791789
PM16-60,12 Hours variance,47.45063987346413
PM17-60,12 Hours variance,70.01221220981667
PM18-60,12 Hours variance,2.151753601399589
PM19-60,12 Hours variance,85.96611082390206
PM21-60,12 Hours variance,22.609100607531953
PM24-60,12 Hours variance,3.114428158988927
PM25-60,12 Hours variance,44.448590247113586
PM26-60,12 Hours variance,7.607680772084982
PM27-60,12 Hours variance,18.560669901141708
PM22-60,12 Hours variance,3.807654643216504
