Sensor,Date,Variance,value
PM20-60,2021-07-07,Daily variance,0.4214604395604394
PM20-60,2021-07-08,Daily variance,0.6836355361815629
PM20-60,2021-07-09,Daily variance,0.09442392857142881
PM20-60,2021-07-10,Daily variance,1.5192685940016133
PM20-60,2021-07-11,Daily variance,2.3308373450812487
PM20-60,2021-07-12,Daily variance,1.1915104978354993
PM20-60,2021-07-13,Daily variance,2.7820603692810395
PM20-60,2021-07-15,Daily variance,0.03108139499389561
PM20-60,2021-07-17,Daily variance,0.3313960038986371
PM20-60,2021-07-18,Daily variance,0.8216288838450294
PM20-60,2021-07-19,Daily variance,0.04594459595959565
PM20-60,2021-07-20,Daily variance,0.180782488425924
PM20-60,2021-07-21,Daily variance,0.08804852335164805
PM20-60,2021-07-22,Daily variance,19.513410855464002
PM20-60,2021-07-23,Daily variance,3.8435054695166038
PM20-60,2021-07-24,Daily variance,0.7773917294973579
PM20-60,2021-07-25,Daily variance,0.015718154761904763
PM20-60,2021-07-27,Daily variance,5.701567751736105
PM20-60,2021-07-28,Daily variance,3.8778817318337313
PM20-60,2021-07-29,Daily variance,3.653815065167066
PM20-60,2021-07-30,Daily variance,3.9672866533313225
PM20-60,2021-07-31,Daily variance,1.3757956216931204
PM20-60,2021-08-01,Daily variance,1.1536487929894164
PM20-60,2021-08-02,Daily variance,0.004691840277778181
PM20-60,2021-08-03,Daily variance,11.647671375661398
PM20-60,2021-08-04,Daily variance,1.522159419031804
PM20-60,2021-08-05,Daily variance,6.65119369967793
PM20-60,2021-08-06,Daily variance,7.299606644122374
PM20-60,2021-08-07,Daily variance,2.9116117703301163
PM20-60,2021-08-08,Daily variance,1.4811367980399217
PM20-60,2021-08-09,Daily variance,7.735497241093001
PM20-60,2021-08-10,Daily variance,0.3281830502717408
PM20-60,2021-08-11,Daily variance,1.3551921900161048
PM20-60,2021-08-12,Daily variance,17.367323424919483
PM20-60,2021-08-13,Daily variance,5.408206127969004
PM20-60,2021-08-14,Daily variance,14.668823809523797
PM20-60,2021-08-15,Daily variance,3.7141067217693235
PM20-60,2021-08-16,Daily variance,0.005338888888887988
PM20-60,2021-08-19,Daily variance,8.232188446969703
PM20-60,2021-08-20,Daily variance,2.53770216888084
PM20-60,2021-08-21,Daily variance,2.0571954106280215
PM20-60,2021-08-22,Daily variance,0.815986985456924
PM20-60,2021-08-23,Daily variance,0.8254424315619958
PM20-60,2021-08-24,Daily variance,0.403850361060789
PM20-60,2021-08-25,Daily variance,0.21635774833937174
PM20-60,2021-08-26,Daily variance,42.77610663747986
PM20-60,2021-08-27,Daily variance,1.9156053328804357
PM20-60,2021-08-28,Daily variance,5.395487009680135
PM20-60,2021-08-29,Daily variance,0.8945883743458147
PM20-60,2021-08-30,Daily variance,9.689501961302327
PM20-60,2021-08-31,Daily variance,9.09673925173355
PM20-60,2021-09-01,Daily variance,7.030157673711759
PM20-60,2021-09-02,Daily variance,6.751655062600642
PM20-60,2021-09-03,Daily variance,22.934864622727282
PS4-60,2021-06-23,Daily variance,0.257530502645504
PS4-60,2021-06-24,Daily variance,0.27312350543478336
PS4-60,2021-06-25,Daily variance,0.1632992753623189
PS4-60,2021-06-26,Daily variance,0.21449565217391275
PS4-60,2021-06-27,Daily variance,0.13366915760869527
PS4-60,2021-06-28,Daily variance,0.1505824275362317
PS4-60,2021-06-29,Daily variance,0.14951698369565253
PS4-60,2021-06-30,Daily variance,0.1409579710144929
PS4-60,2021-07-01,Daily variance,0.19916793478260847
PS4-60,2021-07-02,Daily variance,0.26869275362318895
PS4-60,2021-07-03,Daily variance,0.18937155797101352
PS4-60,2021-07-04,Daily variance,0.18742712862318872
PS4-60,2021-07-05,Daily variance,0.10677894021739122
PS4-60,2021-07-06,Daily variance,0.15988242753623186
PS4-60,2021-07-07,Daily variance,0.0472760416666663
PS4-60,2021-07-08,Daily variance,0.14352173913043517
PS4-60,2021-07-09,Daily variance,0.20388872282608628
PS4-60,2021-07-10,Daily variance,0.0488140851449271
PS4-60,2021-07-11,Daily variance,0.018250543478260828
PS4-60,2021-07-12,Daily variance,0.08575647644927549
PS4-60,2021-07-13,Daily variance,0.0680495923913052
PS4-60,2021-07-14,Daily variance,0.16064710144927502
PS4-60,2021-07-15,Daily variance,0.19419778079710082
PS4-60,2021-07-16,Daily variance,0.14109981884058
PS4-60,2021-07-17,Daily variance,0.2798813808373598
PS4-60,2021-07-18,Daily variance,0.17031843297101484
PS4-60,2021-07-19,Daily variance,0.17608181818181945
PS4-60,2021-07-20,Daily variance,0.7905129981884054
PS4-60,2021-07-21,Daily variance,0.12105212862318827
PS4-60,2021-07-22,Daily variance,0.14870233918128722
PS4-60,2021-07-23,Daily variance,0.12460958333333322
PS4-60,2021-07-24,Daily variance,0.05683589743589765
PS4-60,2021-07-25,Daily variance,0.04799120879120869
PS4-60,2021-07-26,Daily variance,0.08564555555555545
PS4-60,2021-07-27,Daily variance,0.10365681818181781
PS4-60,2021-07-28,Daily variance,0.1496787878787881
PS4-60,2021-07-29,Daily variance,0.08852424242424241
PS4-60,2021-07-30,Daily variance,2.861299242424243
